Story,Tom_Label,P1,P2,WM_Label,TOM Responses,WM Responses
The apple is placed in room_4. The bottle is placed in room_1. The bottle is placed in room_5. The hat is placed in room_2. The shoe is placed in room_4. The bottle is placed in room_1. The shoe is placed in room_3. The chess piece is placed in room_4. The ball is placed in room_4. The apple is placed in room_3. The ball is placed in room_3. The shoe is placed in the_hallway. The apple is placed in the_hallway. The apple is placed in room_2. The bottle is placed in room_2. The hat is placed in room_3. The hat is placed in the_hallway. The apple is placed in the_hallway. The hat is placed in room_2. The apple is placed in room_1. The ball is placed in the_hallway. The ball is placed in room_4. The bottle is placed in room_1. The chess piece is placed in room_1. The chess piece is placed in the_hallway. The chess piece is placed in room_2. The bottle is placed in room_5. The chess piece is placed in room_3. The hat is placed in room_3. The chess piece is placed in room_2,the_hallway,"The apple,The shoe",The ball,the_hallway,room_4,The ball was placed in room_4.
The hat is placed in room_4. The hat is placed in room_5. The hat is placed in room_1. The hat is placed in room_5. The hat is placed in room_1. The apple is placed in room_4. The shoe is placed in room_4. The hat is placed in the_hallway. The bottle is placed in room_1. The hat is placed in room_4. The chess piece is placed in room_4. The apple is placed in room_3. The hat is placed in room_3. The ball is placed in room_2. The shoe is placed in room_3. The hat is placed in the_hallway. The shoe is placed in the_hallway. The hat is placed in room_2. The shoe is placed in room_1. The ball is placed in the_hallway. The chess piece is placed in room_3. The chess piece is placed in the_hallway. The ball is placed in room_4. The ball is placed in room_1. The hat is placed in room_1. The ball is placed in the_hallway. The bottle is placed in room_5. The bottle is placed in room_2. The ball is placed in room_2. The hat is placed in room_2,room_3,"The shoe,The apple",The chess piece,room_3,room_3,The chess piece was placed in room_4.
The apple is placed in room_4. The ball is placed in room_1. The shoe is placed in room_1. The chess piece is placed in room_1. The apple is placed in room_5. The ball is placed in room_5. The shoe is placed in room_5. The hat is placed in room_1. The apple is placed in room_4. The hat is placed in room_5. The chess piece is placed in room_5. The apple is placed in room_3. The hat is placed in room_1. The bottle is placed in room_1. The hat is placed in the_hallway. The bottle is placed in the_hallway. The shoe is placed in room_4. The ball is placed in room_1. The bottle is placed in room_4. The apple is placed in room_2. The chess piece is placed in room_4. The chess piece is placed in room_3. The apple is placed in room_3. The ball is placed in room_2. The ball is placed in the_hallway. The ball is placed in room_1. The bottle is placed in room_5. The bottle is placed in room_4. The ball is placed in room_2. The bottle is placed in room_3,room_4,"The hat,The shoe",The chess piece,room_4,room_3,The chess piece was placed in room_5.
The hat is placed in room_1. The ball is placed in room_2. The hat is placed in room_5. The bottle is placed in room_1. The ball is placed in the_hallway. The chess piece is placed in room_1. The apple is placed in room_2. The shoe is placed in room_4. The bottle is placed in room_5. The apple is placed in room_3. The chess piece is placed in room_5. The shoe is placed in room_3. The shoe is placed in room_4. The ball is placed in room_1. The shoe is placed in room_1. The bottle is placed in room_4. The bottle is placed in room_3. The ball is placed in the_hallway. The ball is placed in room_1. The hat is placed in room_4. The chess piece is placed in room_4. The chess piece is placed in room_3. The apple is placed in room_2. The ball is placed in the_hallway. The ball is placed in room_2. The shoe is placed in room_2. The ball is placed in room_3. The shoe is placed in room_3. The shoe is placed in room_4. The shoe is placed in room_3,room_4,"The bottle,The hat",The chess piece,room_4,room_4,The chess piece was placed in room_5.
The shoe is placed in room_4. The ball is placed in room_2. The apple is placed in room_4. The chess piece is placed in room_4. The bottle is placed in room_1. The bottle is placed in room_2. The chess piece is placed in room_5. The chess piece is placed in room_1. The chess piece is placed in room_2. The ball is placed in room_3. The hat is placed in room_4. The bottle is placed in room_3. The apple is placed in room_3. The chess piece is placed in room_3. The ball is placed in room_4. The ball is placed in room_3. The shoe is placed in room_1. The chess piece is placed in room_2. The ball is placed in room_2. The ball is placed in room_1. The hat is placed in room_1. The hat is placed in room_2. The ball is placed in the_hallway. The ball is placed in room_2. The ball is placed in room_1. The bottle is placed in the_hallway. The bottle is placed in room_4. The ball is placed in room_5. The chess piece is placed in room_3. The bottle is placed in room_5,room_1,"The apple,The shoe",The hat,room_1,room_2,The hat was placed in room_4.
The chess piece is placed in room_1. The apple is placed in room_4. The hat is placed in room_4. The ball is placed in room_1. The apple is placed in room_1. The shoe is placed in room_2. The ball is placed in room_5. The shoe is placed in the_hallway. The chess piece is placed in room_5. The bottle is placed in room_1. The bottle is placed in room_5. The shoe is placed in room_1. The hat is placed in room_1. The apple is placed in room_5. The shoe is placed in room_2. The ball is placed in room_2. The apple is placed in room_4. The apple is placed in room_1. The apple is placed in the_hallway. The chess piece is placed in room_2. The bottle is placed in room_2. The bottle is placed in room_1. The hat is placed in room_2. The apple is placed in room_4. The apple is placed in room_1. The apple is placed in room_5. The shoe is placed in room_3. The apple is placed in room_4. The shoe is placed in room_4. The apple is placed in room_3,room_2,"The chess piece,The ball",The bottle,room_2,room_1,The bottle was placed in room_1 and room_5 when it was in the same room as the chess piece and the ball.
The bottle is placed in room_2. The hat is placed in room_1. The bottle is placed in the_hallway. The apple is placed in room_4. The apple is placed in room_3. The apple is placed in room_2. The shoe is placed in room_1. The ball is placed in room_1. The apple is placed in room_3. The bottle is placed in room_4. The chess piece is placed in room_1. The bottle is placed in room_1. The shoe is placed in the_hallway. The bottle is placed in the_hallway. The apple is placed in room_4. The hat is placed in the_hallway. The apple is placed in room_1. The apple is placed in the_hallway. The ball is placed in the_hallway. The shoe is placed in room_4. The chess piece is placed in the_hallway. The chess piece is placed in room_2. The shoe is placed in room_5. The shoe is placed in room_2. The bottle is placed in room_4. The shoe is placed in room_3. The bottle is placed in room_3. The bottle is placed in room_2. The shoe is placed in room_2. The shoe is placed in the_hallway,the_hallway,"The ball,The hat",The chess piece,the_hallway,room_2,The chess piece was placed in room_1.
The chess piece is placed in room_1. The chess piece is placed in the_hallway. The apple is placed in room_4. The chess piece is placed in room_2. The chess piece is placed in the_hallway. The hat is placed in room_4. The chess piece is placed in room_2. The bottle is placed in room_1. The bottle is placed in the_hallway. The chess piece is placed in room_3. The shoe is placed in room_4. The apple is placed in room_3. The ball is placed in room_1. The hat is placed in room_3. The apple is placed in room_2. The bottle is placed in room_2. The ball is placed in room_2. The ball is placed in room_3. The bottle is placed in room_1. The chess piece is placed in the_hallway. The shoe is placed in room_3. The shoe is placed in the_hallway. The bottle is placed in room_5. The chess piece is placed in room_1. The bottle is placed in room_4. The ball is placed in room_2. The ball is placed in room_3. The chess piece is placed in room_2. The bottle is placed in room_3. The ball is placed in the_hallway,room_3,"The apple,The hat",The shoe,room_3,room_4,The shoe was placed in room_3.
The ball is placed in room_1. The hat is placed in room_2. The ball is placed in the_hallway. The chess piece is placed in room_1. The bottle is placed in room_1. The ball is placed in room_2. The chess piece is placed in room_5. The shoe is placed in room_2. The chess piece is placed in room_1. The bottle is placed in room_2. The apple is placed in room_2. The hat is placed in room_1. The ball is placed in the_hallway. The shoe is placed in room_1. The chess piece is placed in room_5. The hat is placed in room_5. The ball is placed in room_1. The hat is placed in room_4. The ball is placed in room_2. The hat is placed in room_5. The apple is placed in room_1. The apple is placed in the_hallway. The bottle is placed in room_3. The ball is placed in room_1. The chess piece is placed in room_4. The bottle is placed in room_2. The bottle is placed in the_hallway. The chess piece is placed in room_5. The ball is placed in the_hallway. The chess piece is placed in room_2,room_1,"The hat,The shoe",The apple,room_1,room_2,The apple was placed in room_2.
The ball is placed in room_1. The ball is placed in room_5. The chess piece is placed in room_1. The shoe is placed in room_1. The shoe is placed in room_5. The bottle is placed in room_1. The bottle is placed in the_hallway. The hat is placed in room_1. The hat is placed in room_5. The apple is placed in room_1. The apple is placed in room_5. The hat is placed in room_2. The chess piece is placed in room_2. The ball is placed in room_2. The shoe is placed in room_2. The shoe is placed in room_1. The ball is placed in room_3. The bottle is placed in room_2. The bottle is placed in room_3. The chess piece is placed in room_3. The apple is placed in room_2. The apple is placed in room_1. The bottle is placed in room_2. The shoe is placed in room_2. The bottle is placed in room_3. The chess piece is placed in room_2. The shoe is placed in the_hallway. The bottle is placed in room_4. The shoe is placed in room_2. The bottle is placed in room_1,room_2,"The ball,The hat",The apple,room_2,room_1,The apple was placed in room_5.
