,Story,Label,P1,P2,Last,TOM Responses
0,Charlie enters room_2. Charlie enters room_1. Anne enters room_1. Sally enters room_1. Sally enters the_hallway. Charlie enters room_2. Sally enters the_hallway,the_hallway,Anne,Sally,,the_hallway
0,Sally enters room_2. Charlie enters room_1. Sally enters the_hallway. Anne enters room_1. Anne enters the_hallway. Sally enters room_1. Anne enters the_hallway,the_hallway,Charlie,Anne,,"Charlie did not watch Anne go anywhere because when Anne entered room_1, Charlie was not in the room."
0,Sally enters room_1. Charlie enters room_1. Sally enters room_2. Anne enters room_1. Anne enters room_2. Sally enters the_hallway. Anne enters the_hallway,room_2,Charlie,Anne,,Charlie watched Anne go to room_2.
0,Sally enters room_2. Charlie enters room_2. Sally enters room_1. Anne enters room_2. Anne enters the_hallway. Sally enters the_hallway. Anne enters the_hallway,the_hallway,Charlie,Anne,,Charlie watched Anne go to the_hallway.
0,Charlie enters room_1. Sally enters room_1. Sally enters room_2. Anne enters room_1. Anne enters the_hallway. Sally enters room_1. Anne enters room_2,the_hallway,Charlie,Anne,,the hallway
0,Anne enters room_2. Anne enters the_hallway. Charlie enters room_1. Sally enters room_1. Sally enters room_2. Anne enters room_2. Sally enters the_hallway,room_2,Charlie,Sally,,Charlie watched Sally go to room_2.
0,Sally enters room_2. Anne enters room_2. Sally enters room_1. Charlie enters room_2. Charlie enters the_hallway. Sally enters room_2. Charlie enters the_hallway,the_hallway,Anne,Charlie,,The hallway
0,Charlie enters room_2. Charlie enters the_hallway. Sally enters room_1. Anne enters room_1. Anne enters the_hallway. Charlie enters room_1. Anne enters room_2,the_hallway,Sally,Anne,,the hallway
0,Charlie enters room_1. Charlie enters room_2. Anne enters room_2. Sally enters room_2. Sally enters room_1. Charlie enters the_hallway. Sally enters the_hallway,room_1,Anne,Sally,,The hallway
0,Anne enters room_2. Charlie enters room_1. Anne enters the_hallway. Sally enters room_1. Sally enters the_hallway. Anne enters room_2. Sally enters room_2,the_hallway,Charlie,Sally,,Charlie did not see Sally go anywhere since they were never in the same room at the same time.
0,Anne enters room_2. Sally enters room_2. Sally enters the_hallway. Charlie enters room_2. Charlie enters room_1. Sally enters room_1. Charlie enters room_1,room_1,Anne,Charlie,,the hallway
0,Anne enters room_1. Sally enters room_2. Sally enters the_hallway. Charlie enters room_1. Charlie enters room_2. Sally enters room_1. Charlie enters the_hallway,room_2,Anne,Charlie,,Room_2
0,Sally enters room_2. Anne enters room_1. Sally enters room_1. Charlie enters room_1. Charlie enters room_2. Sally enters room_2. Charlie enters room_2,room_2,Anne,Charlie,,Anne watched Charlie go to room_2.
0,Sally enters room_1. Charlie enters room_2. Sally enters the_hallway. Anne enters room_2. Anne enters room_1. Sally enters room_1. Anne enters room_1,room_1,Charlie,Anne,,Charlie did not see Anne go anywhere because they were never in the same room at the same time.
0,Sally enters room_1. Anne enters room_2. Anne enters room_1. Charlie enters room_1. Charlie enters the_hallway. Anne enters room_2. Charlie enters room_2,the_hallway,Sally,Charlie,,the hallway
0,Charlie enters room_1. Charlie enters room_2. Anne enters room_1. Sally enters room_1. Sally enters room_2. Charlie enters room_1. Sally enters the_hallway,room_2,Anne,Sally,,the_hallway
0,Anne enters room_2. Sally enters room_2. Sally enters the_hallway. Charlie enters room_2. Charlie enters room_1. Sally enters room_1. Charlie enters room_1,room_1,Anne,Charlie,,the hallway
0,Charlie enters room_2. Anne enters room_2. Charlie enters the_hallway. Sally enters room_2. Sally enters the_hallway. Charlie enters room_1. Sally enters room_1,the_hallway,Anne,Sally,,the_hallway
0,Charlie enters room_2. Sally enters room_2. Charlie enters room_1. Anne enters room_2. Anne enters room_1. Charlie enters the_hallway. Anne enters room_1,room_1,Sally,Anne,,room_1
0,Sally enters room_2. Sally enters room_1. Anne enters room_2. Charlie enters room_2. Charlie enters the_hallway. Sally enters the_hallway. Charlie enters room_1,the_hallway,Anne,Charlie,,the_hallway
0,Charlie enters room_1. Charlie enters room_2. Sally enters room_1. Anne enters room_1. Anne enters room_2. Charlie enters room_1. Anne enters the_hallway,room_2,Sally,Anne,,the hallway
0,Charlie enters room_1. Anne enters room_2. Anne enters room_1. Sally enters room_1. Sally enters the_hallway. Anne enters the_hallway. Sally enters room_2,the_hallway,Charlie,Sally,,the hallway
0,Charlie enters room_2. Sally enters room_2. Charlie enters the_hallway. Anne enters room_2. Anne enters room_1. Charlie enters room_1. Anne enters the_hallway,room_1,Sally,Anne,,The hallway.
