Story,Tom_Label,P1,P2,WM_Label,TOM Responses,WM Responses Humans,WM Responses Objects
The apple is moved to room_4. The bottle is moved to room_1. The bottle is moved to room_5. The hat is moved to room_2. The shoe is moved to room_4. The bottle is moved to room_1. The shoe is moved to room_3. The chess piece is moved to room_4. The ball is moved to room_4. The apple is moved to room_3. The ball is moved to room_3. The shoe is moved to the_hallway. The apple is moved to the_hallway. The apple is moved to room_2. The bottle is moved to room_2. The hat is moved to room_3. The hat is moved to the_hallway. The apple is moved to the_hallway. The hat is moved to room_2. The apple is moved to room_1. The ball is moved to the_hallway. The ball is moved to room_4. The bottle is moved to room_1. The chess piece is moved to room_1. The chess piece is moved to the_hallway. The chess piece is moved to room_2. The bottle is moved to room_5. The chess piece is moved to room_3. The hat is moved to room_3. The chess piece is moved to room_2,the hallway,"the apple,the shoe",the ball,the hallway,Room 4,Room 3.,Room 3
The hat is moved to room_4. The hat is moved to room_5. The hat is moved to room_1. The hat is moved to room_5. The hat is moved to room_1. The apple is moved to room_4. The shoe is moved to room_4. The hat is moved to the_hallway. The bottle is moved to room_1. The hat is moved to room_4. The chess piece is moved to room_4. The apple is moved to room_3. The hat is moved to room_3. The ball is moved to room_2. The shoe is moved to room_3. The hat is moved to the_hallway. The shoe is moved to the_hallway. The hat is moved to room_2. The shoe is moved to room_1. The ball is moved to the_hallway. The chess piece is moved to room_3. The chess piece is moved to the_hallway. The ball is moved to room_4. The ball is moved to room_1. The hat is moved to room_1. The ball is moved to the_hallway. The bottle is moved to room_5. The bottle is moved to room_2. The ball is moved to room_2. The hat is moved to room_2,room 3,"the shoe,the apple",the chess piece,room 3,Room 3,Edward did not go anywhere when Alice and Danny were in the same room as him.,Hallway
The apple is moved to room_4. The ball is moved to room_1. The shoe is moved to room_1. The chess piece is moved to room_1. The apple is moved to room_5. The ball is moved to room_5. The shoe is moved to room_5. The hat is moved to room_1. The apple is moved to room_4. The hat is moved to room_5. The chess piece is moved to room_5. The apple is moved to room_3. The hat is moved to room_1. The bottle is moved to room_1. The hat is moved to the_hallway. The bottle is moved to the_hallway. The shoe is moved to room_4. The ball is moved to room_1. The bottle is moved to room_4. The apple is moved to room_2. The chess piece is moved to room_4. The chess piece is moved to room_3. The apple is moved to room_3. The ball is moved to room_2. The ball is moved to the_hallway. The ball is moved to room_1. The bottle is moved to room_5. The bottle is moved to room_4. The ball is moved to room_2. The bottle is moved to room_3,room 4,"the hat,the shoe",the chess piece,room 4,Room 3,Room 5,Room 4
The hat is moved to room_1. The ball is moved to room_2. The hat is moved to room_5. The bottle is moved to room_1. The ball is moved to the_hallway. The chess piece is moved to room_1. The apple is moved to room_2. The shoe is moved to room_4. The bottle is moved to room_5. The apple is moved to room_3. The chess piece is moved to room_5. The shoe is moved to room_3. The shoe is moved to room_4. The ball is moved to room_1. The shoe is moved to room_1. The bottle is moved to room_4. The bottle is moved to room_3. The ball is moved to the_hallway. The ball is moved to room_1. The hat is moved to room_4. The chess piece is moved to room_4. The chess piece is moved to room_3. The apple is moved to room_2. The ball is moved to the_hallway. The ball is moved to room_2. The shoe is moved to room_2. The ball is moved to room_3. The shoe is moved to room_3. The shoe is moved to room_4. The shoe is moved to room_3,room 4,"the bottle,the hat",the chess piece,room 4,Room 5,Room 4,Room 4
The shoe is moved to room_4. The ball is moved to room_2. The apple is moved to room_4. The chess piece is moved to room_4. The bottle is moved to room_1. The bottle is moved to room_2. The chess piece is moved to room_5. The chess piece is moved to room_1. The chess piece is moved to room_2. The ball is moved to room_3. The hat is moved to room_4. The bottle is moved to room_3. The apple is moved to room_3. The chess piece is moved to room_3. The ball is moved to room_4. The ball is moved to room_3. The shoe is moved to room_1. The chess piece is moved to room_2. The ball is moved to room_2. The ball is moved to room_1. The hat is moved to room_1. The hat is moved to room_2. The ball is moved to the_hallway. The ball is moved to room_2. The ball is moved to room_1. The bottle is moved to the_hallway. The bottle is moved to room_4. The ball is moved to room_5. The chess piece is moved to room_3. The bottle is moved to room_5,room 1,"the apple,the shoe",the hat,room 1,Room 2,Room 2,Room 1
The chess piece is moved to room_1. The apple is moved to room_4. The hat is moved to room_4. The ball is moved to room_1. The apple is moved to room_1. The shoe is moved to room_2. The ball is moved to room_5. The shoe is moved to the_hallway. The chess piece is moved to room_5. The bottle is moved to room_1. The bottle is moved to room_5. The shoe is moved to room_1. The hat is moved to room_1. The apple is moved to room_5. The shoe is moved to room_2. The ball is moved to room_2. The apple is moved to room_4. The apple is moved to room_1. The apple is moved to the_hallway. The chess piece is moved to room_2. The bottle is moved to room_2. The bottle is moved to room_1. The hat is moved to room_2. The apple is moved to room_4. The apple is moved to room_1. The apple is moved to room_5. The shoe is moved to room_3. The apple is moved to room_4. The shoe is moved to room_4. The apple is moved to room_3,room 2,"the chess piece,the ball",the bottle,room 2,Room 1,Room 1,Room 1
The bottle is moved to room_2. The hat is moved to room_1. The bottle is moved to the_hallway. The apple is moved to room_4. The apple is moved to room_3. The apple is moved to room_2. The shoe is moved to room_1. The ball is moved to room_1. The apple is moved to room_3. The bottle is moved to room_4. The chess piece is moved to room_1. The bottle is moved to room_1. The shoe is moved to the_hallway. The bottle is moved to the_hallway. The apple is moved to room_4. The hat is moved to the_hallway. The apple is moved to room_1. The apple is moved to the_hallway. The ball is moved to the_hallway. The shoe is moved to room_4. The chess piece is moved to the_hallway. The chess piece is moved to room_2. The shoe is moved to room_5. The shoe is moved to room_2. The bottle is moved to room_4. The shoe is moved to room_3. The bottle is moved to room_3. The bottle is moved to room_2. The shoe is moved to room_2. The shoe is moved to the_hallway,the hallway,"the ball,the hat",the chess piece,the hallway,Room 1,Edward never went to any room where Bob and Charlie were present at the same time.,Room 2
The chess piece is moved to room_1. The chess piece is moved to the_hallway. The apple is moved to room_4. The chess piece is moved to room_2. The chess piece is moved to the_hallway. The hat is moved to room_4. The chess piece is moved to room_2. The bottle is moved to room_1. The bottle is moved to the_hallway. The chess piece is moved to room_3. The shoe is moved to room_4. The apple is moved to room_3. The ball is moved to room_1. The hat is moved to room_3. The apple is moved to room_2. The bottle is moved to room_2. The ball is moved to room_2. The ball is moved to room_3. The bottle is moved to room_1. The chess piece is moved to the_hallway. The shoe is moved to room_3. The shoe is moved to the_hallway. The bottle is moved to room_5. The chess piece is moved to room_1. The bottle is moved to room_4. The ball is moved to room_2. The ball is moved to room_3. The chess piece is moved to room_2. The bottle is moved to room_3. The ball is moved to the_hallway,room 3,"the apple,the hat",the shoe,room 3,room 4,Hallway,hallway
The ball is moved to room_1. The hat is moved to room_2. The ball is moved to the_hallway. The chess piece is moved to room_1. The bottle is moved to room_1. The ball is moved to room_2. The chess piece is moved to room_5. The shoe is moved to room_2. The chess piece is moved to room_1. The bottle is moved to room_2. The apple is moved to room_2. The hat is moved to room_1. The ball is moved to the_hallway. The shoe is moved to room_1. The chess piece is moved to room_5. The hat is moved to room_5. The ball is moved to room_1. The hat is moved to room_4. The ball is moved to room_2. The hat is moved to room_5. The apple is moved to room_1. The apple is moved to the_hallway. The bottle is moved to room_3. The ball is moved to room_1. The chess piece is moved to room_4. The bottle is moved to room_2. The bottle is moved to the_hallway. The chess piece is moved to room_5. The ball is moved to the_hallway. The chess piece is moved to room_2,room 1,"the hat,the shoe",the apple,room 1,Room 1,Hallway,hallway
The ball is moved to room_1. The ball is moved to room_5. The chess piece is moved to room_1. The shoe is moved to room_1. The shoe is moved to room_5. The bottle is moved to room_1. The bottle is moved to the_hallway. The hat is moved to room_1. The hat is moved to room_5. The apple is moved to room_1. The apple is moved to room_5. The hat is moved to room_2. The chess piece is moved to room_2. The ball is moved to room_2. The shoe is moved to room_2. The shoe is moved to room_1. The ball is moved to room_3. The bottle is moved to room_2. The bottle is moved to room_3. The chess piece is moved to room_3. The apple is moved to room_2. The apple is moved to room_1. The bottle is moved to room_2. The shoe is moved to room_2. The bottle is moved to room_3. The chess piece is moved to room_2. The shoe is moved to the_hallway. The bottle is moved to room_4. The shoe is moved to room_2. The bottle is moved to room_1,room 2,"the ball,the hat",the apple,room 2,Room 1,Room 1.,Room 1
