Story,Tom_Label,P1,P2,WM_Label,TOM Responses,WM Responses Humans,WM Responses Objects
The apple is moved to room_4. The bottle is moved to room_1. The bottle is moved to room_5. The hat is moved to room_2. The shoe is moved to room_4. The bottle is moved to room_1. The shoe is moved to room_3. The chess piece is moved to room_4. The ball is moved to room_4. The apple is moved to room_3. The ball is moved to room_3. The shoe is moved to the_hallway. The apple is moved to the_hallway. The apple is moved to room_2. The bottle is moved to room_2. The hat is moved to room_3. The hat is moved to the_hallway. The apple is moved to the_hallway. The hat is moved to room_2. The apple is moved to room_1. The ball is moved to the_hallway. The ball is moved to room_4. The bottle is moved to room_1. The chess piece is moved to room_1. The chess piece is moved to the_hallway. The chess piece is moved to room_2. The bottle is moved to room_5. The chess piece is moved to room_3. The hat is moved to room_3. The chess piece is moved to room_2,the_hallway,"The apple,The shoe",The ball,the_hallway,room_3,Bob went to room_3.,The ball was moved to the hallway.
The hat is moved to room_4. The hat is moved to room_5. The hat is moved to room_1. The hat is moved to room_5. The hat is moved to room_1. The apple is moved to room_4. The shoe is moved to room_4. The hat is moved to the_hallway. The bottle is moved to room_1. The hat is moved to room_4. The chess piece is moved to room_4. The apple is moved to room_3. The hat is moved to room_3. The ball is moved to room_2. The shoe is moved to room_3. The hat is moved to the_hallway. The shoe is moved to the_hallway. The hat is moved to room_2. The shoe is moved to room_1. The ball is moved to the_hallway. The chess piece is moved to room_3. The chess piece is moved to the_hallway. The ball is moved to room_4. The ball is moved to room_1. The hat is moved to room_1. The ball is moved to the_hallway. The bottle is moved to room_5. The bottle is moved to room_2. The ball is moved to room_2. The hat is moved to room_2,room_3,"The shoe,The apple",The chess piece,room_3,room_3,Edward moved to the hallway.,The chess piece was moved to the hallway.
The apple is moved to room_4. The ball is moved to room_1. The shoe is moved to room_1. The chess piece is moved to room_1. The apple is moved to room_5. The ball is moved to room_5. The shoe is moved to room_5. The hat is moved to room_1. The apple is moved to room_4. The hat is moved to room_5. The chess piece is moved to room_5. The apple is moved to room_3. The hat is moved to room_1. The bottle is moved to room_1. The hat is moved to the_hallway. The bottle is moved to the_hallway. The shoe is moved to room_4. The ball is moved to room_1. The bottle is moved to room_4. The apple is moved to room_2. The chess piece is moved to room_4. The chess piece is moved to room_3. The apple is moved to room_3. The ball is moved to room_2. The ball is moved to the_hallway. The ball is moved to room_1. The bottle is moved to room_5. The bottle is moved to room_4. The ball is moved to room_2. The bottle is moved to room_3,room_4,"The hat,The shoe",The chess piece,room_4,room_4,Edward moved to room_5.,Room_3
The hat is moved to room_1. The ball is moved to room_2. The hat is moved to room_5. The bottle is moved to room_1. The ball is moved to the_hallway. The chess piece is moved to room_1. The apple is moved to room_2. The shoe is moved to room_4. The bottle is moved to room_5. The apple is moved to room_3. The chess piece is moved to room_5. The shoe is moved to room_3. The shoe is moved to room_4. The ball is moved to room_1. The shoe is moved to room_1. The bottle is moved to room_4. The bottle is moved to room_3. The ball is moved to the_hallway. The ball is moved to room_1. The hat is moved to room_4. The chess piece is moved to room_4. The chess piece is moved to room_3. The apple is moved to room_2. The ball is moved to the_hallway. The ball is moved to room_2. The shoe is moved to room_2. The ball is moved to room_3. The shoe is moved to room_3. The shoe is moved to room_4. The shoe is moved to room_3,room_4,"The bottle,The hat",The chess piece,room_4,room_4,Edward moved to room_4.,The chess piece was moved to room_4.
The shoe is moved to room_4. The ball is moved to room_2. The apple is moved to room_4. The chess piece is moved to room_4. The bottle is moved to room_1. The bottle is moved to room_2. The chess piece is moved to room_5. The chess piece is moved to room_1. The chess piece is moved to room_2. The ball is moved to room_3. The hat is moved to room_4. The bottle is moved to room_3. The apple is moved to room_3. The chess piece is moved to room_3. The ball is moved to room_4. The ball is moved to room_3. The shoe is moved to room_1. The chess piece is moved to room_2. The ball is moved to room_2. The ball is moved to room_1. The hat is moved to room_1. The hat is moved to room_2. The ball is moved to the_hallway. The ball is moved to room_2. The ball is moved to room_1. The bottle is moved to the_hallway. The bottle is moved to room_4. The ball is moved to room_5. The chess piece is moved to room_3. The bottle is moved to room_5,room_1,"The apple,The shoe",The hat,room_1,room_2,Charlie moved to room_2.,Room_1
The chess piece is moved to room_1. The apple is moved to room_4. The hat is moved to room_4. The ball is moved to room_1. The apple is moved to room_1. The shoe is moved to room_2. The ball is moved to room_5. The shoe is moved to the_hallway. The chess piece is moved to room_5. The bottle is moved to room_1. The bottle is moved to room_5. The shoe is moved to room_1. The hat is moved to room_1. The apple is moved to room_5. The shoe is moved to room_2. The ball is moved to room_2. The apple is moved to room_4. The apple is moved to room_1. The apple is moved to the_hallway. The chess piece is moved to room_2. The bottle is moved to room_2. The bottle is moved to room_1. The hat is moved to room_2. The apple is moved to room_4. The apple is moved to room_1. The apple is moved to room_5. The shoe is moved to room_3. The apple is moved to room_4. The shoe is moved to room_4. The apple is moved to room_3,room_2,"The chess piece,The ball",The bottle,room_2,room_1,Frank moved to room_5.,The bottle was moved to room_2.
The bottle is moved to room_2. The hat is moved to room_1. The bottle is moved to the_hallway. The apple is moved to room_4. The apple is moved to room_3. The apple is moved to room_2. The shoe is moved to room_1. The ball is moved to room_1. The apple is moved to room_3. The bottle is moved to room_4. The chess piece is moved to room_1. The bottle is moved to room_1. The shoe is moved to the_hallway. The bottle is moved to the_hallway. The apple is moved to room_4. The hat is moved to the_hallway. The apple is moved to room_1. The apple is moved to the_hallway. The ball is moved to the_hallway. The shoe is moved to room_4. The chess piece is moved to the_hallway. The chess piece is moved to room_2. The shoe is moved to room_5. The shoe is moved to room_2. The bottle is moved to room_4. The shoe is moved to room_3. The bottle is moved to room_3. The bottle is moved to room_2. The shoe is moved to room_2. The shoe is moved to the_hallway,the_hallway,"The ball,The hat",The chess piece,the_hallway,room_2,Edward moved to the hallway.,The chess piece was moved to room_1.
The chess piece is moved to room_1. The chess piece is moved to the_hallway. The apple is moved to room_4. The chess piece is moved to room_2. The chess piece is moved to the_hallway. The hat is moved to room_4. The chess piece is moved to room_2. The bottle is moved to room_1. The bottle is moved to the_hallway. The chess piece is moved to room_3. The shoe is moved to room_4. The apple is moved to room_3. The ball is moved to room_1. The hat is moved to room_3. The apple is moved to room_2. The bottle is moved to room_2. The ball is moved to room_2. The ball is moved to room_3. The bottle is moved to room_1. The chess piece is moved to the_hallway. The shoe is moved to room_3. The shoe is moved to the_hallway. The bottle is moved to room_5. The chess piece is moved to room_1. The bottle is moved to room_4. The ball is moved to room_2. The ball is moved to room_3. The chess piece is moved to room_2. The bottle is moved to room_3. The ball is moved to the_hallway,room_3,"The apple,The hat",The shoe,room_3,room_3,Alice moved to the hallway.,the_hallway
The ball is moved to room_1. The hat is moved to room_2. The ball is moved to the_hallway. The chess piece is moved to room_1. The bottle is moved to room_1. The ball is moved to room_2. The chess piece is moved to room_5. The shoe is moved to room_2. The chess piece is moved to room_1. The bottle is moved to room_2. The apple is moved to room_2. The hat is moved to room_1. The ball is moved to the_hallway. The shoe is moved to room_1. The chess piece is moved to room_5. The hat is moved to room_5. The ball is moved to room_1. The hat is moved to room_4. The ball is moved to room_2. The hat is moved to room_5. The apple is moved to room_1. The apple is moved to the_hallway. The bottle is moved to room_3. The ball is moved to room_1. The chess piece is moved to room_4. The bottle is moved to room_2. The bottle is moved to the_hallway. The chess piece is moved to room_5. The ball is moved to the_hallway. The chess piece is moved to room_2,room_1,"The hat,The shoe",The apple,room_1,room_1,Danny moved to the hallway.,The apple was moved to room_1.
The ball is moved to room_1. The ball is moved to room_5. The chess piece is moved to room_1. The shoe is moved to room_1. The shoe is moved to room_5. The bottle is moved to room_1. The bottle is moved to the_hallway. The hat is moved to room_1. The hat is moved to room_5. The apple is moved to room_1. The apple is moved to room_5. The hat is moved to room_2. The chess piece is moved to room_2. The ball is moved to room_2. The shoe is moved to room_2. The shoe is moved to room_1. The ball is moved to room_3. The bottle is moved to room_2. The bottle is moved to room_3. The chess piece is moved to room_3. The apple is moved to room_2. The apple is moved to room_1. The bottle is moved to room_2. The shoe is moved to room_2. The bottle is moved to room_3. The chess piece is moved to room_2. The shoe is moved to the_hallway. The bottle is moved to room_4. The shoe is moved to room_2. The bottle is moved to room_1,room_2,"The ball,The hat",The apple,room_2,room_1,Danny moved to room_1.,room_1
